Date,Open,High,Low,Close,Adj Close,Volume
2017-06-12,143.320007,144.500000,142.199997,142.270004,140.092300,82526500
2017-06-19,143.660004,147.160004,143.660004,146.279999,144.040924,133253000
2017-06-26,147.169998,148.279999,142.279999,144.020004,141.815506,127060200
2017-07-03,144.880005,145.300003,142.410004,144.179993,141.973053,79158400
2017-07-10,144.110001,149.330002,143.369995,149.039993,146.758636,111088400
2017-07-17,148.820007,151.740005,148.570007,150.270004,147.969849,106081600
2017-07-24,150.580002,153.990005,147.300003,149.500000,147.211624,105818100
2017-07-31,149.899994,159.750000,148.130005,156.389999,153.996140,172808500
2017-08-07,157.059998,161.830002,154.630005,157.479996,155.069489,151269100
2017-08-14,159.320007,162.509995,156.720001,157.500000,155.698212,134628500
2017-08-21,157.500000,160.740005,155.110001,159.860001,158.031189,112671200
2017-08-28,160.139999,164.940002,159.929993,164.050003,162.173279,126128700
2017-09-04,163.750000,164.250000,158.529999,158.630005,156.815277,101660200
2017-09-11,160.500000,163.960007,157.910004,159.880005,158.050964,220582600
2017-09-18,160.110001,160.500000,150.559998,151.889999,150.152390,186188500
2017-09-25,149.990005,154.720001,149.160004,154.119995,152.356857,154856800
2017-10-02,154.259995,155.490005,152.460007,155.300003,153.523361,93784300
2017-10-09,155.809998,158.000000,155.100006,156.990005,155.194031,81304800
2017-10-16,157.899994,160.869995,155.020004,156.250000,154.462494,126051300
2017-10-23,156.889999,163.600006,155.270004,163.050003,161.184708,122403300
2017-10-30,163.889999,174.259995,163.720001,172.500000,170.526596,215177400
2017-11-06,172.369995,176.240005,171.720001,174.669998,172.671768,138425400
2017-11-13,173.500000,174.500000,168.380005,170.149994,168.808151,116459700
2017-11-20,170.289993,175.500000,169.559998,174.970001,173.590149,81009300
2017-11-27,175.050003,175.080002,167.160004,171.050003,169.701050,170098500
2017-12-04,172.479996,172.619995,166.460007,169.369995,168.034302,137481100
2017-12-11,169.199997,174.169998,168.789993,173.970001,172.598022,139147200
2017-12-18,174.880005,177.199997,173.250000,175.009995,173.629822,117632400
2017-12-25,170.800003,171.850006,169.220001,169.229996,167.895416,97163800
2018-01-01,170.160004,175.369995,169.259995,175.000000,173.619904,101168400
2018-01-08,174.350006,177.360001,173.000000,177.089996,175.693420,110197500
2018-01-15,177.899994,180.100006,175.070007,178.460007,177.052628,127072900
2018-01-22,177.300003,179.440002,170.059998,171.509995,170.157425,191574800
2018-01-29,170.160004,170.160004,160.100006,160.500000,159.234253,262992100
2018-02-05,159.100006,163.880005,150.240005,156.410004,155.176514,317654000
2018-02-12,158.500000,174.820007,157.509995,172.429993,171.767639,225336900
2018-02-19,172.050003,175.649994,171.009995,175.500000,174.825851,136206400
2018-02-26,176.350006,180.619995,172.449997,176.210007,175.533142,202128400
2018-03-05,175.210007,180.000000,174.270004,179.979996,179.288635,139852700
2018-03-12,180.289993,183.500000,177.619995,178.020004,177.336182,155417500
2018-03-19,177.320007,177.470001,164.940002,164.940002,164.306427,172670700
2018-03-26,168.070007,175.149994,165.190002,167.779999,167.135513,158530800
2018-04-02,166.639999,174.229996,164.470001,168.380005,167.733215,164408800
2018-04-09,169.880005,175.839996,169.850006,174.729996,174.058807,127871500
2018-04-16,175.029999,178.940002,165.429993,165.720001,165.083420,169238200
2018-04-23,166.830002,166.919998,160.630005,162.320007,161.696487,162208400
2018-04-30,162.130005,184.250000,161.839996,183.830002,183.123856,252805700
2018-05-07,185.179993,190.369995,183.669998,188.589996,187.865570,148266900
2018-05-14,189.009995,189.529999,185.100006,186.309998,186.309998,99248800
2018-05-21,188.000000,189.649994,185.759995,188.580002,188.580002,90971400
2018-05-28,187.600006,190.259995,186.139999,190.240005,190.240005,91792700
2018-06-04,191.639999,194.199997,189.770004,191.699997,191.699997,116635600
2018-06-11,191.350006,192.880005,190.210007,190.800003,190.800003,78349500
