Date,Open,High,Low,Close,Adj Close,Volume
6/19/17,151.710007,155.199997,151.710007,155.070007,155.070007,79842700
6/26/17,156.25,156.5,148.919998,150.979996,150.979996,95769100
7/3/17,151.720001,152.149994,147.800003,151.440002,151.440002,56764700
7/10/17,151.690002,160.320007,151.509995,159.970001,159.970001,80086200
7/17/17,160.25,165.699997,158.809998,164.429993,164.429993,96122400
7/24/17,164.639999,175.490005,163.860001,172.449997,172.449997,161455400
7/31/17,172,172.720001,166.910004,169.619995,169.619995,78869200
8/7/17,169.949997,173.050003,166.850006,168.080002,168.080002,72620200
8/14/17,170.089996,171.5,166.210007,167.410004,167.410004,69772900
8/21/17,167.160004,169.869995,165.820007,166.320007,166.320007,59799900
8/28/17,166.910004,172.919998,165,172.020004,172.020004,59717100
9/4/17,171.270004,173.490005,169.550003,170.949997,170.949997,56165200
9/11/17,172.399994,174,170.259995,171.639999,171.639999,63953800
9/18/17,171.990005,173.050003,169.220001,170.539993,170.539993,61645200
9/25/17,169.240005,171.660004,161.559998,170.869995,170.869995,111376500
10/2/17,171.389999,172.369995,168.289993,172.229996,172.229996,61415600
10/9/17,172.699997,174.880005,170.800003,173.740005,173.740005,61204500
10/16/17,174.490005,176.740005,172.630005,174.979996,174.979996,66891900
10/23/17,175.199997,178.210007,168.889999,177.880005,177.880005,84107200
10/30/17,179.259995,182.899994,176.710007,178.919998,178.919998,138797700
11/6/17,178.559998,180.75,177.089996,178.460007,178.460007,60415500
11/13/17,177.5,179.979996,176.399994,179,179,57988600
11/20/17,178.869995,183.149994,178.100006,182.779999,182.779999,44359000
11/27/17,182.559998,184.25,172.339996,175.100006,175.100006,114147800
12/4/17,176.289993,182.279999,169.009995,179,179,105188400
12/11/17,179.300003,180.490005,176.600006,180.179993,180.179993,86692500
12/18/17,181.009995,181.300003,176.229996,177.199997,177.199997,64156700
12/25/17,176.630005,178.940002,174.669998,176.460007,176.460007,40875700
1/1/18,177.679993,186.899994,177.550003,186.850006,186.850006,62493900
1/8/18,187.199997,188.899994,177.399994,179.369995,179.369995,128057600
1/15/18,181.5,182.369995,175.800003,181.289993,181.289993,113964300
1/22/18,180.800003,190.660004,180.410004,190,190,106209700
1/29/18,188.75,195.320007,181.839996,190.279999,190.279999,165475700
2/5/18,186.929993,190.610001,167.179993,176.110001,176.110001,176854500
2/12/18,177.059998,180.5,171.839996,177.360001,177.360001,124768900
2/19/18,175.770004,183.389999,175.110001,183.289993,183.289993,81877200
2/26/18,184.580002,185.660004,172.990005,176.619995,176.619995,95460000
3/5/18,176.199997,185.509995,175.889999,185.229996,185.229996,86125600
3/12/18,185.229996,186.100006,181.110001,185.089996,185.089996,90208100
3/19/18,177.009995,177.169998,159.020004,159.389999,159.389999,451943400
3/26/18,160.820007,162.850006,149.020004,159.789993,159.789993,324697100
4/2/18,157.809998,161.570007,150.509995,157.199997,157.199997,212319900
4/9/18,157.820007,168.649994,156.039993,164.520004,164.520004,207202700
4/16/18,165.720001,169,163.389999,166.279999,166.279999,103186400
4/23/18,167.270004,177.100006,156.190002,173.589996,173.589996,206613200
4/30/18,173.789993,178.080002,170.229996,176.610001,176.610001,118904800
5/7/18,177.350006,188.320007,177.110001,186.990005,186.990005,99836400
5/14/18,187.710007,187.860001,182.220001,182.679993,182.679993,76022800
5/21/18,183.770004,186.910004,182.179993,184.919998,184.919998,65151700
5/28/18,184.339996,194.550003,183.710007,193.990005,193.990005,77942800
6/4/18,191.839996,195,186.429993,189.100006,189.100006,91125100
6/11/18,188.809998,197.279999,188.800003,195.850006,195.850006,81327200
6/18/18,194.800003,199.580002,193.789993,197.490005,197.490005,36354300
6/19/18,196.235199,197.960007,193.789993,197.490005,197.490005,17313700
